geoCode	lon	lat
WF	-178.137436	-14.286415
WS	-172.438241	-13.639139
SB	159.170468	-8.029548
TV	179.209587	-8.513717
MV	73.507554	4.174441
NR	166.932644	-0.520261
FM	158.234019	6.887553
GS	-31.063179	-55.683402
FK	-58.738602	-51.608913
VU	166.908762	-15.37153
NU	-169.862565	-19.045956
AS	-170.747153	-14.32671
PW	134.580157	7.518252
GU	144.703614	13.354173
MP	145.734397	15.188188
BH	50.554816	26.055972
-99	154.390595	-21.029311
-99	115.81956	10.72954
-99	-109.22045	10.297324
MO	113.556038	22.129735
-99	123.586368	-12.432571
-99	-79.845836	15.791588
-99	-78.638239	15.864308
-99	117.753812	15.152039
